product_id,sku,name,main_category,sub_category,price_inr,material,size,attributes
PROD-1001,UPVC-PIP-050-C3,UPVC Pipe - 1.5 Inch (50mm),Pipes & Tubing,UPVC,450,UPVC,50mm,"Class 3 (6 kg/cm2), 6m length"
PROD-1002,UPVC-PIP-063-C3,UPVC Pipe - 2 Inch (63mm),Pipes & Tubing,UPVC,580,UPVC,63mm,"Class 3 (6 kg/cm2), 6m length"
PROD-1003,UPVC-PIP-110-C4,UPVC Pipe - 4 Inch (110mm),Pipes & Tubing,UPVC,1150,UPVC,110mm,"Class 4 (10 kg/cm2), 6m length"
PROD-1004,CPVC-PIP-015-SDR11,CPVC Pipe - 1/2 Inch (15mm),Pipes & Tubing,CPVC,180,CPVC,15mm,"SDR 11, 3m length"
PROD-1005,CPVC-PIP-025-SDR11,CPVC Pipe - 1 Inch (25mm),Pipes & Tubing,CPVC,320,CPVC,25mm,"SDR 11, 3m length"
PROD-1006,CPVC-PIP-050-SDR11,CPVC Pipe - 1.5 Inch (50mm),Pipes & Tubing,CPVC,650,CPVC,50mm,"SDR 11, 3m length"
PROD-1007,PVC-SWR-075-T1,SWR Drainage Pipe - 3 Inch (75mm),Pipes & Tubing,PVC SWR,520,PVC,75mm,"Type A (Low Pressure), 3m length"
PROD-1008,PVC-SWR-110-T1,SWR Drainage Pipe - 4 Inch (110mm),Pipes & Tubing,PVC SWR,780,PVC,110mm,"Type A (Low Pressure), 3m length"
PROD-1009,HDPE-PIP-090-PN10,HDPE Pipe - 90mm,Pipes & Tubing,HDPE,1400,HDPE,90mm,"PN10, 6m Coil"
PROD-1010,HDPE-PIP-110-PN12,HDPE Pipe - 110mm,Pipes & Tubing,HDPE,1800,HDPE,110mm,"PN12, 6m Coil"
PROD-2001,UPVC-ELB-90-050,UPVC 90° Elbow - 50mm,Fittings,Directional,45,UPVC,50mm,Socket Connection
PROD-2002,UPVC-ELB-45-050,UPVC 45° Elbow - 50mm,Fittings,Directional,48,UPVC,50mm,Socket Connection
